,SubContinent,Country,Weight
0,North America,United States,8695577
1,North America,Canada,1415707
2,Latin America,Latin America,7703933
3,Africa,Africa,11674618
4,Europe,Europe,14025778
5,Fmr Soviet Union,Fmr Soviet Union,4736991
6,West Asia,West Asia,9528478
7,South Asia,South Asia,11528268
8,East Asia,Hong Kong and Macao,2292230
9,East Asia,China,1991399
10,East Asia,Japan,472167
11,East Asia,North Korea,54103
12,East Asia,South Korea,773143
13,East Asia,Mongolia,28142
14,South-East Asia,South-East Asia,7392392
15,Oceania,Oceania,2098266
